idx,original,paraphrased
1254,ตำรวจใช้เวลาเพียงชั่วข้ามคืน สามารถติดตามจับกุมผู้ก่อเหตุฆาตกรรมพนักงานสถานเสริมความงามชื่อดังและสิ่งที่ทำให้เธอตกเป็นผู้ถูกกระทำ เพียงเพราะผู้ก่อเหตุรู้ว่าเธออยู่คนเดียวในห้องพัก,ตำรวจใช้เวลาตามหาและจับกุมผู้ทำความร้ายเป็นฆาตกรรมต่อเจ้าของธุรกิจสปาที่มีชื่อเสียงและต้องการที่จะทำให้เธอกลายเป็นเป้าหมายเป็นผู้ถูกทำร้าย นั่นเพราะว่าผู้ทำความร้ายรู้ว่าเธอเป็นคนเดียวที่อยู่ในห้องพัก
1255,ม.หอการค้าไทย เผยดัชนีเชื่อมั่นผู้บริโภคเดือน พ.ย. ดีขึ้นเป็นเดือนที่ 2 และสูงสุดในรอบ 11 เดือน หลังคนเชื่อมั่นเศรษฐกิจไทยฟื้นตัว ตามมาตรการกระตุ้นของรัฐบาล ห่วงก่อการร้ายฝรั่งเศส และศึกรัสเซีย-ตุรกี ฉุดความเชื่อมั่น ,ดัชนีเชื่อมั่นผู้บริโภคของประเทศไทยเดือนพฤศจิกายนพบว่าดีขึ้นในเดือนที่สองและมีค่าสูงสุดในรอบ 11 เดือน เนื่องจากผู้คนมีความเชื่อมั่นในการฟื้นตัวของเศรษฐกิจไทยตามมาตรการกระตุ้นของรัฐบาล อย่างไรก็ตาม ยังคงมีความกังวลเกี่ยวกับความไม่มั่นคงของสภาพการเมืองในประเทศฝรั่งเศสและความขัดแย้งระหว่างรัสเซียและตุรกีซึ่งสกัดความเชื่อมั่นออกไป
1256,บาร์เซโลน่า เปิดคัมป์นู ชนะ อาร์เซน่อล 3-1 ผ่านเข้ารอบ 8 ทีมสุดท้าย ฟุตบอลยูฟ่าเเชมเปี้ยนส์ลีก รวมผล 2 นัด ประตูรวม 5-1,"บาร์เซโลน่าสามารถเอาชนะอาร์เซน่อลครั้งนี้ด้วยคะแนน 3-1 และได้เข้ารอบ 8 ทีมสุดท้ายในการแข่งขันฟุตบอลยูฟ่าเเชมเปี้ยนส์ลีก รวมช่วงเวลา 2 เกม ที่ได้รวมกันเป็นคะแนนทำได้ทั้งหมด 5-1 แต่ยังเหลือเกมอีกไว้,"
1257,เปิดกระบวนการนอกกฎหมายจัดการกับผู้แสดงความเห็นเกี่ยวกับสถาบันกษัตริย์ เจ้าหน้าที่ไม่ทราบหน่วย คุมตัว-ขู่บังคับให้ข้อมูล-ทำ MOU ล่าสุด นศ.ธรรมศาสตร์ โดน กับคำถามที่ว่าเสรีภาพเพิ่มขึ้น? แม้คดี 112 จะลด,เปิดกระบวนการจัดการนอกกฎหมายเพื่อปรับปรุงผู้ประกอบการคณะแสดงความความคิดเกี่ยวกับองค์กรพระมหากษัตริย์ เจ้าหน้าที่ไม่ได้รับคำสั่ง ให้จับกุมหรือขู่กดดันให้ได้ข้อมูล หรือทำตามข้อตกลงสุดท้ายที่เกี่ยวข้องกับคำถามว่าสิทธิพิเศษเพิ่มขึ้นหรือไม่ แม้ว่าคดี 112 จะได้รับการลดลง
1258,พรรคสามัญชนชูสปอตหาเสียง ถ้าไม่เห็นด้วยกับเผด็จการทหาร ลงคะแนนให้พรรคสามัญชน ไม่มีอะไรต้องสูญเสีย นอกจากโซ่ตรวนปรากฏว่า กกต.ขอให้เปลี่ยน เอาคำว่า เผด็จการทหาร และ โซ่ตรวน ออกไป เลิศศักดิ์,พรรคสามัญชนชูสปอตถืออีกฝ่าย ถ้าไม่เห็นด้วยกับเผด็จการทหาร รองรับพรรคสามัญชนโดยไม่ต้องสูญเสียอะไรเลย นอกจากผลกระทบที่แสดงว่า กกต.ขอให้เปลี่ยนเอาคำว่า เผด็จการทหาร และ ผลกระทบ ออกไป เช่นเดียวกัน
1260,ตร.อุบลราชธานี เร่งตามตัว ลูกเขยก่อเหตุยิงแม่ยายเจ็บ ชิงลูกวัย 5 เดือน ด้านแม่ผู้ก่อเหตุ เผยลูกเคยมาระบายให้ฟัง ถูกกีดกัน ทั้งที่หาเงินส่งเสีย ,ตำรวจอุบลราชธานีต้องรีบจับลูกเขยที่เป็นตัวก่อเหตุการยิงแม่ยายซึ่งได้รับบาดเจ็บ ทำการแย่งลูกวัย 5 เดือน ซึ่งมาจากมือของแม่ผู้ก่อเหตุ เพราะแม่ผู้ก่อเหตุได้เปิดเผยว่าลูกเคยอ้างว่าถูกกีดกันและส่งเสียตามหาเงินให้ not found
1261, ผลการสอบสวนสาเหตุการตกขณะลงจอดของเครื่องบินโดยสารจากเกาหลีใต้ในสหรัฐฯ เบื้องต้นมีข้อมูลชี้ว่า เครื่องบินใช้ความเร็วต่ำกว่าพิกัดขณะพยายามร่อนลงจอด และนักบินขอบินวนจนเกิดเหตุสลดิ,ในการสอบสวนเกี่ยวกับเหตุการณ์ที่เกิดขึ้นในขณะที่เครื่องบินโดยสารจากเกาหลีใต้ลงจอดในสหรัฐอเมริกา เราได้รับข้อมูลเบื้องต้นที่ชี้ให้เห็นว่า เครื่องบินใช้ความเร็วที่ต่ำกว่ากำหนดขณะที่พยายามลงจอด และนักบินทำการเบียดบังอย่างต่อเนื่องจนทำให้เกิดเหตุการณ์ลดลง
1262,ตำรวจ ปคบ.ผนึกกำลังภาค 2 บุกทลายแหล่งผลิตและจำหน่ายท่อไอเสีย จยย.ไม่ได้มาตรฐาน มอก.กลางเมืองชล ยึดของกลางเครื่องตัด แท่นเจาะ,ตำรวจ ปคบ. บุกทำลายสถานที่ที่ผลิตและจำหน่ายท่อไอเสีย ซึ่งไม่ได้มีการรับรองจากจยย. บนถนนกลางเมืองชล ถูกยึดของกลางอุปกรณ์ตัดและเครื่องจักรใช้ในการเจาะ
1263,เริ่มเป็นที่ตอบรับทั้งจากนานาชาติและกลุ่มผู้ใช้เน็ตเพื่อรณรงค์ประชาธิปไตยและ เสรีภาพทั้งหลาย (Social Network) เริ่มรณรงค์แนวร่วมจากโลกไซเบอร์ ประกาศ Free from Fear - อิสระจากความกลัวมาตรา 112 อ.,เริ่มต้นและประชาธิปไตยรองรับและเอาใจใส่ทั้งจากระดับสากลและคนใช้อินเทอร์เน็ตเข้าร่วมในการสนับสนุนเสรีภาพในโลกไซเบอร์ ด้วยการประกาศ Free from Fear - อิสระจากความกลัวตามมาตรา 112 อาจารย์
1264,ร.ต.ท.จรูญ วิมูล ยื่นฟ้องครูปรีชา เจ๊บ้าบิ่น และเจ๊พัชในความผิดฐานเบิกความอันเป็นเท็จในการไต่สวนคำร้องฉุกเฉิน คดีสลากกินแบ่งรัฐบาล 30 ล้านบาท ,ร.ต.ท.จรูญ วิมูล ยื่นข้อเรียกร้องต่อครูปรีชา เจ๊บ้าบิ่น และเจ๊พัช เพื่อหาความจริงเกี่ยวกับการขอความช่วยเหลือฉุกเฉินที่มีข้อเสียเบิกเสร็จเกินความจำเป็น ซึ่งเป็นสาเหตุให้เกิดคดีสลากกินแบ่งรัฐบาลมูลค่า 30 ล้านบาท
1265, รอยด่างพร้อยในสงครามโลกครั้งที่ 2 ทำให้ดนตรีของวากเนอร์ คีตกวีชาวเยอรมัน กลายเป็นสิ่งต้องห้ามในอิสราเอล แต่มีความพยายามของนักออกแบบท่าเต้นชาวยิวผู้หนึ่งที่ต้องการปรับเปลี่ยนทัศนคติดังกล่าว จากมุมมองว่าดนตรีเป็นศิลปะอันเป็นสากล,"การสงครามโลกครั้งที่ 2 สร้างผลกระทบให้ดนตรีของนักเขียนและนักกวีชาวเยอรมัน, วากเนอร์, ถูกห้ามในอิสราเอล อย่างไรก็ตาม, นักออกแบบท่าเต้นชาวยิวหนึ่งพยายามที่จะเปลี่ยนแปลงบทความนี้ โดยเห็นว่าดนตรีเป็นศิลปะที่เกิดขึ้นทั่วโลก"
1266,ซาแมนธา มาร์เคิล พี่สาวต่างแม่ ออกโรงวอนผ่านสื่อ ขอให้เมแกนอนุญาตให้พ่อโทมัส มีโอกาสพบหน้าหลานชาย อาร์ชี หลังเมแกนมีประสูติกาลโอรสองค์แรก,ซาแมนธา มาร์เคิล พี่สาวต่างแม่ ออกโรงวอนผ่านสื่อ ขอให้เมแกนอนุญาตให้พ่อโทมัส มีโอกาสพบหน้าหลานชาย อาร์ชี หลังเมแกนมีประสูติกาลโอรสองครั้งแรกยอดเยี่ยม
1267,สหพันธ์ฟุตบอลสเปน (อาร์เอฟอีเอฟ) ปฏิเสธรับการยื่นอุทธรณ์โทษของ ราชันชุดขาว เรอัล มาดริด จากกรณีที่ถูกปรับตกรอบ โกปา เดล เรย์ ในข้อหาส่งนักเตะที่ติดโทษแบนลงสนาม …,สหพันธ์การแข่งขันฟุตบอลของสเปน (อาร์เอฟอีเอฟ) ปฏิเสธการยอมรับการกดดันโทษที่ถูกยื่นอุทธรณ์จากทีมราชันชุดขาว เรอัล มาดริด ในกรณีที่ถูกตัดสิทธิ์การเล่นโดยเกาะโกปา เดล เรย์ ประเด็นฉุกเฉินในการส่งนักเตะที่ถูกลงโทษออกจากสนาม …
1268,นายวรพงษ์ สุธานนท์ หุ้นส่วนสายงาน Forensic services บริษัท PwC Consulting (ประเทศไทย) เปิดเผยในงานสัมมนา PwC Forensics Summit ซึ่งจัดขึ้นเพื่อระดมความคิดเห็นเกี่ยวกับแนวทางในการป้องกันและแก้ไขปัญหาการทุจริตในองค์กร,นายวรพงษ์ สุธานนท์ ซึ่งเป็นหุ้นส่วนของฝ่าย Forensic services ที่บริษัท PwC Consulting (ประเทศไทย) เปิดเผยในงานสัมมนา PwC Forensics Summit ซึ่งจัดขึ้นเพื่อรวบรวมความคิดเห็นเกี่ยวกับแนวทางในการป้องกันและแก้ไขปัญหาการทุจริตในองค์กร
1269,เห็นแล้วเอ็นดู เมื่อน้องปีใหม่ ลูกสาวคุณพ่อสงกรานต์และคุณแม่แอฟ สอนน้องโคโม่เรื่องมารยาทบนโต๊ะอาหาร รวมทั้งโชว์สเตปเต้นน่ารักๆ คู่กัน,เมื่อได้เห็นน้องโคโม่ในวันปีใหม่ ลูกสาวของคุณพ่อและคุณแม่แอฟได้สอนมารยาทบนโต๊ะอาหารมาพร้อมกับการเต้นชมราตรีน่ารักๆ คู่กัน
1270,ชุดสืบสวน สน.บางรัก โชว์แถลงผลจับกุมหนุ่มใหญ่วัย 40 เพิ่งพ้นคุกมาไม่นาน หันมาเป็นเอเย่นต์เดินยา ขยายผลค้นห้องพัก เจอกล่องพัสดุไปรษณีย์ซุกยาบ้ากว่า 2 หมื่นเม็ด ส่งมาจากประเทศเนเธอร์แลนด์,"หลังจากผ่านการจับกุมไปมาไม่นาน หนุ่มวัย 40 กำลังฝ่ายนอกเริ่มเป็นเอเย่นต์ที่จะค้นหาจดหมายสี่แถว ค้นพบกล่องไปรษณีย์ที่เต็มไปด้วยยาเสพติดต่างกันมากกว่า 20,000 เม็ด ที่ถูกส่งมาจากประเทศเนเธอร์แลนด์"
1271,สศค.กำลังเตรียมมาตรการกระตุ้นท่องเที่ยวเพิ่มเติมเพื่อต่อยอดมาตรการกระตุ้นท่องเที่ยวของการท่องเที่ยวแห่งประเทศไทย (ททท.) หรือโครงการ เราเที่ยวด้วยกัน ที่กำลังดำเนินการในขณะนี้,"สำนักงานคณะกรรมการการท่องเที่ยวกำลังจัดการทำมาตรการส่งเสริมการท่องเที่ยวเพิ่มเติมเพื่อต่อยอดแนวทางการส่งเสริมการท่องเที่ยวของกระทรวงการท่องเที่ยวและกีฬา หรือโครงการ ""เราเที่ยวด้วยกัน"" ที่กำลังดำเนินการไปในขณะนี้"
1272,"นายกฯ นั่งหัวโต๊ะ ถกร่วม ครม.-คสช. หลังร่าง รธน.-คำถามพ่วงผ่านประชามติ ย้ำก่อนประชุม เลือกตั้งยังเดินตามโรดแม็ปปี 60 พร้อมนำ ครม.-ข้าราชการ ลงทะเบียนสมัครระบบ พร้อมเพย์ หวังการันตีปลอดภัยจริง 

",นายกฯ กำลังนั่งอยู่หน้าโต๊ะ ถูกต้องหน้าร่าง รธน.-คำถามพ่วงห่วงผ่านแผนที่ปี 60 ก่อนประชุม ยังเลือกตั้งตามโรดแม็ปเดิมพัน พร้อมทั้งนำครอบครัว-ข้าราชการ จดทะเบียนสมัครในระบบมือถือ พร้อมเฮฮามั่นใจว่าปลอดภัยจริง
1273,"เพื่อไทย เตือน รบ.ไม่ควรใช้งบกลางปีหาเสียงล่วงหน้า หยันแก้ปัญหาเศรษฐกิจได้ ปชช.จะเลือกกลับมาเป็นรัฐบาลเอง

",เพื่อไทยควรระวังไม่ใช้งบกลางปีหาเสียงล่วงหน้า เพราะมันไม่สามารถแก้ไขปัญหาเศรษฐกิจได้ ถ้าปชช.เข้ามาเป็นรัฐบาลอีกครั้ง
1274,เอฟทีเอ ว็อทช์ ส่งสารถึงหัวหน้า คสช.ก่อนไปญี่ปุ่นสัปดาห์หน้า อย่าเข้าความตกลงหุ้นส่วนเศรษฐกิจภาคพื้นแปซิฟิค ระบุก่อปัญหาทั้งสังคม ชี้บทเรียน 10 ปีความตกลงไทย-ญี่ปุ่น (JTEPA),เอฟทีเอ ว็อทช์ ส่งคำสารถึงหัวหน้า คสช.ก่อนที่จะไปยังประเทศญี่ปุ่นในสัปดาห์ถัดไป อย่าเข้าสู่การตกลงทางเศรษฐกิจภาคพื้นแปซิฟิค และเน้นไปที่ปัญหาทั้งในสังคมและการเรียนรู้จากการตกลงร่วมกันระหว่างไทยและญี่ปุ่น (JTEPA) ที่สิ้นสุดลงมา 10 ปีที่ผ่านมา.
1275,แกนนำ นปช. บุกทำเนียบฯ ร้อง บิ๊กตู่ ยุติคุกคาม ซัดป่าเถื่อน ส่งทหารตามเพศแม่ 24 ชั่วโมง เรียกร้องสอบสวนนำตัวลงโทษ ไม่ใช่ปล่อยทำตามอำเภอใจ ยก ม.4 รธน.ชั่วคราวปี 47 คุ้มครองสิทธิเสรีภาพ,แกนนำ นปช. บุกเข้าความสงบเรียบร้อยของค่าย และออกเสียงประชาธิปไตย แสดงความไม่พอใจต่อการกีดกันทางแบบไม่เหมือนเป็นตามกฎหมาย แนะนำให้ทหารเข้าไปรักษาความปลอดภัยโดยผู้หญิงเป็นเด็ก 24 ชั่วโมงและต้องการให้การสอบสวนเพื่อนำเสนอการทำโทษ และไม่อนุญาตให้ไปตามสมมุติของกระทำการในแวดวงพ้อง และก็สนับสนุนการยกเลิกการศึกษาชั่วคราวในระดับมัธยมศึกษาตอนปลายในปี 47 เพื่อปกป้องสิทธิเสรีภาพ
1276,ธนาธร ลั่น อนาคตใหม่ พร้อมเต็มที่เลือกตั้งซ่อมนครปฐม ชี้ หากคว้าชัยอาจแก้เกมเปลี่ยนตัวนายกฯ ได้ เผย ยังไม่โฟกัสเลือกตั้งผู้ว่าฯ กทม. ขอลุยเลือกตั้งท้องถิ่นก่อน จ่อส่งลงแข่ง 15 จังหวัด,ธนาธรตั้งใจที่จะเข้าร่วมการเลือกตั้งในอนาคต และเป็นอนาคตใหม่ที่มีความพร้อม โดยเลือกตั้งซ่อมในจังหวัดนครปฐม ในการเลือกตั้งนี้เขาได้ชี้ให้เห็นว่า หากเขาสามารถคว้าชัยได้ เขาอาจจะสามารถเปลี่ยนตัวนายกที่คว้าชัยอยู่ได้ นอกจากนี้ เขาก็ยังเผยว่า เขายังไม่ได้มีความจริงจักเก็บตัวอยู่ในการเลือกตั้งผู้ว่าฯ กรุงเทพมหานคร ดังนั้น เขาจึงขอลุยเข้าร่วมการเลือกตั้งท้องถิ่นก่อน และส่งลงแข่งใน 15 จังหวัด
1277,พนง.มหาวิทยาลัย แจ้งความผู้บริหารมหาวิทยาลัยแม่ฟ้าหลวง กรณีการปฏิบัติหน้าที่โดยมิชอบ แฉถูกกดดัน-บีบสัญญาจ้าง ด้านศูนย์ประสานงานบุคลาการในสถาบันอุดมศึกษาเผย,พนง.ของมหาวิทยาลัยให้คำแจ้งว่าการปฏิบัติหน้าที่โดยไม่ถูกต้องของบุคลากรที่อยู่ในศูนย์ประสานงานบุคลากรในสถาบันอุดมศึกษาถูกกดดันและบีบสัญญาจ้างได้รับการเปิดเผย
1278,ตำรวจสุราษฎร์ฯล็อกตัวหนุ่มเพื่อนบ้านทมิฬดำเนินคดี 3 ข้อหาหนัก หลังยอมเปิดปากสารภาพบีบคอฆ่า น้องปลา สาววัย 18 ปี,ตำรวจที่สุราษฎร์ฯได้กุบตัวหนุ่มเพื่อนบ้านทมิฬ หลังจากที่เขายอมเปิดปากภาพสารเข้ากัน อันเนื่องมาจากการบีบคอกันเพื่อฆ่าน้องปลา สาวอายุ 18 ปี การดำเนินคดี มีมากถึง 3 ข้อหาหนัก
1279,ไม่เชื่อก็ต้องเชื่อ เมื่อเวทีประกาศรางวัลในตำนานอย่าง ออสการ์ ดราม่าซ้ำรอยเวทีประกวดสาวงามมิสยูนิเวิร์ส ประกาศผลผิด! อาจเจอวิจารณ์กระหึ่มว่าหวังเรียกกระแส กระตุ้นเรตติ้ง,ถ้าไม่เชื่อก็ต้องเชื่อ เมื่อเวทีประกาศรางวัลในตำนานอย่าง ออสการ์ ดราม่าซ้ำรอยเวทีประกวดสาวงามมิสยูนิเวิร์ส ประกาศผลผิด! อาจเจอวิจารณ์กระหึ่มว่าหวังเรียกกระแส กระตุ้นเรตติ้ง 
1280,"Toyota แนะนำรถกระบะขับเคลื่อน 2 ล้อ ตัวเตี้ย รุ่นปรับปรุงใหม่ Hilux REVO Z EDition 599,000 บาท ถึง 784,000 บาท

","โตโยต้าแนะนำรถกระบะขับเคลื่อนด้วยล้อเดียวที่แบ่งออกเป็นรุ่นปรับปรุงใหม่ Hilux REVO Z Edition ที่มีราคาอยู่ในช่วง 599,000 บาทถึง 784,000 บาท"
1281,สหพันธ์เกษตรกรภาคใต้ (สกต.) ระบุทหารเข้ามาในชุมชนก้าวใหม่ เพื่อทำถนนใหม่ตามแนวทางคณะอนุกรรมการนโยบายที่ดินจังหวัดสุราษฎร์ธานี ส่งผลให้ผลอาสินของประชาชนในชุมชนถูกทำลาย หวั่นบ้านเรือนถูกรื้อ,สกต. ระบุตำรวจเข้าสู่ชุมชนและเป็นผลให้บ้านเรือนถูกทำลาย เพื่อสร้างถนนใหม่ตามแนวทางของคณะกรรมการนโยบายที่ดินจังหวัดสุราษฎร์ธานี ทีนี้ผู้คนในชุมชนเปลี่ยนเป็นกังวลเกี่ยวกับการถูกตัดสินใจในเรื่องนี้
1282,เสียชื่อหมดจอห์น แอช อดีตประธานสมัชชาใหญ่ของยูเอ็น ถูกอัยการนิวยอร์กตั้งข้อหารับสินบนมหาศาล เกือบ 47 ล้าน จากนักธุรกิจมหาเศรษฐีชาวจีน เพื่อเปิดทางให้ได้งานก่อสร้างศูนย์การประชุมยูเอ็นที่มาเก๊า,อดีตประธานสมัชชาใหญ่ของยูเอ็นชื่อจอห์น แอชถูกการอัยการนิวยอร์กในมหาศาล มูลค่าข้อหารับสินบนมากถึง 47 ล้านดอลลาร์จากนักธุรกิจจีนที่มีความร่ำรวยเพื่อทำให้ศูนย์การประชุมยูเอ็นที่มาเก๊าสามารถเริ่มก่อสร้างได้
1283,ศูนย์ข่าวภาคเหนือ-25 ก.พ.2548 ที่หอประชุมบ้านธารแก้ว ม.พายัพ จ.เชียงใหม่ นายณัฐนิติ วุฒิธรรมปัญญา แกนนำคัดค้านการสร้างเหมืองถ่านหินเวียงแหง ได้กล่าวโจมตีนายมนัส สุวรรณ อาจารย์จากคณะวิศวกรรมศาสตร์,วันที่ 25 กุมภาพันธ์ 2548 ณ หอประชุมบ้านธารแก้ว มหาวิทยาลัยพายัพ จังหวัดเชียงใหม่ นายณัฐนิติ วุฒิธรรมปัญญา ผู้นำการคัดค้านการสร้างเหมืองถ่านหินในเวียงแหง ได้โจมตีนายมนัส สุวรรณ อาจารย์จากคณะวิศวกรรมศาสตร์
1284,ปิศาจแดง และ เชลซี พร้อมเปิดสงครามล่าตัว จอห์น สโตนส์ กองหลังดาวรุ่งสัญชาติอังกฤษ ของทีมเอฟเวอร์ตัน มาร่วมทีมในฤดูกาลหน้า เพื่อเสริมความแข็งแกร่งในแนวรับ,ปิศาจแดงและเชลซีอยากให้จอห์น สโตนส์ เข้าร่วมทีมเอฟเวอร์ตันในฤดูกาลถัดไป เพื่อเพิ่มพูนความแข็งแกร่งของทีมในบรรดากองหลังดาวรุ่งสัญชาติอังกฤษ
1285,พบแมลงกระเบื้องนับล้านตัวบุกบ้านยายวัย 72 ปีที่อ่างทอง สร้างความรำคาญให้ครอบครัว เกรงแมลงจะเข้าหูเด็กเล็ก ด้านนายก อบต. เตรียมย้ายยายออกจากบ้าน แล้วฉีดพ่นยาประมาณหนึ่งสัปดาห์ จึงให้ยายกลับเข้าบ้านได้,พบแมลงกระเบื้องจำนวนล้านตัวบุกบ้านที่อ่างทอง ทำให้ครอบครัวรำคาญ กังวลว่าเด็กเล็กอาจจะได้ยินเสียงของแมลงนี้ ดังนั้น นายก และทีมงานได้เตรียมการย้ายยายออกจากบ้าน และฉีดพ่นยาทุกสัปดาห์ เพื่อให้ยายกลับเข้าบ้านได้
1286,มีชัย จ่อรื้อแผนปฏิรูปตำรวจ ชุดบุญสร้าง เตรียมถกนัดแรกหลังสงกรานต์ เหตุไม่ตรงตาม รธน. พบแผนดังกล่าวยังเกรงใจ ตร. ชี้โยกย้ายตำรวจ ต.ค.นี้ ยึดหลักอาวุโส ,มีชัยจะรื้อแผนปฏิรูปตำรวจชุดบุญสร้างเร็ว ๆ นี้หลังสงกรานต์ อย่างไรก็ตาม องค์กรการตำรวจพบว่าแผนดังกล่าวยังไม่แน่ใจ เรื่องปฏิบัติตามราชบัณฑิตยสภา ดังนั้น ตำรวจมีแผนโยกย้ายในเดือนตุลาคมนี้ เพื่อยึดหลักจากแผนเก่า
1287,มงคลกิตติ์ นำ ไทยศรีวิไลย์ ลุย สามพราน ช่วย น้องเฟิร์น ปริมปรางค์ หาเสียงโชว์ผลงาน ฝ่ายค้านอิสระ ยับยั้งจัดซื้อเครื่องบิน 38 ลำ ทำคนไทยไม่เป็นหนี้เพิ่ม 1.56 แสนล้าน,มงคลกิตติ์เดินหน้าในการช่วยเหลือน้องเฟิร์นปริมปรางค์ในการค้นหาเสียงโชว์ผลงานและต่อต้านฝ่ายค้านที่ต้องการจัดซื้อเครื่องบิน 38 ลำเพื่อไม่ให้ประชาชนไทยเพิ่มหนี้ 1.56 แสนล้าน
1288,คนไทย 564 คน บินจากกลับจาก 4 ประเทศ ถึงไทยวันนี้ พบมีไข้ 24 คน นำส่ง รพ.ทันที่ ส่วนที่เหลือ ส่งกักตัว 14 วันตามมาตรการ รบ.,คนไทย 564 คน กลับจาก 4 ประเทศกลับไทยวันนี้พบมีไข้ 24 คน มีการนำส่งไปยังโรงพยาบาลทันที ส่วนคนที่เหลือจะถูกส่งกักตัว 14 วันตามมาตรการของทหารสามัญ
1289,หนุ่มช่างรับเหมา ขับกระบะขนเครื่องมืออุปกรณ์ก่อสร้างจะไปทำงานในตัวเมืองนครศรีธรรมราช เกิดยางระเบิดขวางถนน ถูกปิกอัพที่แล่นสวนมาอีก 2 คัน พุ่งชนประสานงาอย่างจัง ส่งผลให้คนขับร่างกระเด็นคอหักดับคาที่-เจ็บระนาวอีก 3 ราย,หนุ่มช่างรับเหมาขับกระบะและโหลดเครื่องมือก่อสร้างไปทำงานในเมืองนครศรีธรรมราช จนกระทั่งถนนถูกขวางด้วยยางระเบิด และถูกปิกอัพที่สวนมาอีก 2 คัน ทำให้กระเด็นประสานตำแหน่งอย่างแรง ซึ่งเกิดผลให้คนขับถูกกระหน่ำในทันที โดยมีผลให้ร่างกายหักคอและเหลือบราวโหนกอีก 3 คน
1290, องค์การบริหารส่วนจังหวัดแพร่ร่วมกับมูลนิธิอุทกพัฒน์ในพระบรมราชูปถัมภ์ เปิดศูนย์บริหารจัดการน้ำจังหวัดแพร่ เพื่อสร้างเครือข่ายจัดการน้ำภาคประชาชนและภาครัฐ ในการบริหารจัดการน้ำในลุ่มแม่น้ำยม,องค์การบริหารส่วนจังหวัดแพร่และมูลนิธิอุทกพัฒน์ร่วมกันในการสร้างศูนย์บริหารจัดการน้ำของจังหวัดแพร่เพื่อสร้างเครือข่ายการบริหารจัดการน้ำร่วมกับส่วนประชาชนและภาครัฐในลุ่มแม่น้ำยม
1291,เห็นคนมีน้ำใจต่อผู้อื่นแล้วรู้สึกดีใจจริงๆค่ะ แถมยิ่งถ้าเป็นคนซึ่งไม่เคยรู้จักกันมาก่อน แต่เมื่อเห็นอีกฝ่ายกำลังตกอยู่ในอันตรายแล้วรีบเข้าไปช่วยเหลือได้ทันท่วงทีก็ยิ่งน่ายินดีปรีดาที่คนบางคนมีน้ำใจต่อมนุษย์ร่วมโลก,เห็นคนอื่นๆแสดงใจดีแล้วรู้สึกเก่งใจจริงๆค่ะ แถมยิ่งถ้าเป็นคนที่ไม่รู้จักแต่เมื่อเห็นผู้อื่นกำลังเป็นอันตรายแล้วก็กระทำเข้าไปช่วยเหลือทันสถานการณ์ก็เป็นเรื่องที่ดีใจระอานที่คนบางคนกล้าใจเอาใจใส่ต่อสัตว์ประเภทเดียวกัน ในโลก
1292,ราชันชุดขาว เรอัล มาดริด และ เจ้าบุญทุ่ม บาร์เซโลนา ตกเป็นข่าว พร้อมเปิดศึกนอกสนาม แย่งคว้าตัว อองโตนี มาร์เชียล ดาวยิงของแมนเชสเตอร์ ยูไนเต็ด มาร่วมทัพ,ราชันชุดขาวและเจ้าบุญทุ่มของทีมเรอัล มาดริดและบาร์เซโลนาถูกประกาศว่าเข้าร่วมทีมอองโตนี มาร์เชียล ดาวยิงของแมนเชสเตอร์ ยูไนเต็ดและเปิดศึกนอกสนามอย่างทันใจ
1293,สวยแรงกระชากใจคณะกรรมการไปแล้ว ประเดิมรางวัลแรก กับการประกวด มิสแกรนด์ขวัญใจ ,คณะกรรมการได้เสด็จสวยแรงเป็นอย่างมากและยังคัดเลือกให้รางวัลแรกกับการประกวด มิสแกรนด์ขวัญใจด้วย
1294,รถบรรทุกดินลูกรัง 18 ล้อ หักเลี้ยวตัดหน้าข้ามฝั่งกะทันหัน ปิกอัพขับมาทางตรงเบรกไม่ทัน ประสานงาอย่างจังรถพังยับ คนขับดับคาเบาะ 1 ราย ขณะเพื่อนบ้านนั่งมาด้วยบาดเจ็บ 2 คน,รถบรรทุกดินลูกรังที่มีล้อ 18 ล้อ หักเลี้ยวทั้งหน้าเพื่อข้ามฝั่งกะทันหัน อีกทั้งรถปิกอัพที่มีผู้ขับขี่มาทางตรงไม่ปิดเบรกทันที ผลตามมาคือการชนกันอย่างรุนแรงซึ่งทำให้รถพังตกและผู้ขับขี่ร่วมรายดับจากที่นั่งส่วนหนึ่ง ในขณะที่เพื่อนบ้านที่นั่งมาด้วยก็ได้รับบาดเจ็บอย่างรุนแรง จำนวนสองคน
1295,อุเทน โพสต์เฟซบุ๊ก ตั้งข้อสังเกต ม.44 เปรียบดังอาวุธร้ายแรง น่าเกรงขาม ถ้าหยิบมาใช้แกล้ง หรือใช้กับฝ่ายที่ไม่เห็นด้วยกับรัฐบาล เพราะเป็นกฎหมายที่ หัวหน้า คสช. ชงเอง กินเองได้เลย,อุเทนโพสต์ในเฟซบุ๊กเพื่อสรุปภาพรายละเอียดที่มีอยู่ในรัฐธรรมนูญ มาธาตุที่มีอาวุธที่แข็งแกร่งและน่ากลัว เมื่อใช้ในการล้อเลียนหรือใช้กับฝ่ายที่ไม่สนับสนุนรัฐบาลเพราะเป็นกฎหมายที่ผู้นำคสช. ต้องยื่นด้วยตนเองและอามีการจัดการ
